,1,2,3,4,5,sum,low_sum,high_sum,high_low_ratio
中身が無い,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ないような,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,inf
事請け合いです,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
作家の戯言,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
余計なお世話です,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
と驚いた,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
何一つ残らない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
どうもいただけない,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
な…？,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
なぁと思う,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
なあと思う,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ないかです,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
以下,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
以上,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,inf
ないことです,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,inf
ないですか,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,inf
ないですよ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
今さらです,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ないのか,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,inf
五十歩百歩である,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ないはずだ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ないはずです,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ないようだ,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
反証でした,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
収穫でした,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
・人間論」,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
て面白いです,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
怒るだろう,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
てるの？,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
てるみたいだ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
得ました,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
て不快だ,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
後悔した,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
て欲しいね,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
て欲しかった,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,inf
役に立ちません,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
て貰った,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
当然でしょう,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
てほしかった,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
広いですなー,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
平凡極まる内容,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
少しガッカリです,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
尊重せよと,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
であるらしい,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
でいいのに,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
でいます,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
できそうです,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
宣伝が良い,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
できないから,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
てました,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
てはいない,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,inf
というところか,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,inf
